underlying,expiry,days2exp,K1,K2,entry_cost,payoff,profit,raw_return,ann_yield
^VIX,2025-05-21,27,19.0,21.0,209.99999999999997,200.0,-9.999999999999972,-0.04761904761904749,-0.6437389770723086
^VIX,2025-05-21,27,19.0,24.0,510.99999999999994,500.0,-10.999999999999943,-0.02152641878669265,-0.29100529100528955
^VIX,2025-05-21,27,19.0,25.0,616.0,600.0,-16.0,-0.025974025974025976,-0.3511303511303511
^VIX,2025-05-21,27,19.0,26.0,711.0,700.0,-11.0,-0.015471167369901548,-0.2091472625931135
^VIX,2025-05-21,27,19.0,27.0,812.9999999999999,800.0,-12.999999999999886,-0.01599015990159888,-0.2161632727438367
^VIX,2025-05-21,27,19.0,29.0,1017.0,1000.0,-17.0,-0.01671583087512291,-0.22597326923777267
^VIX,2025-05-21,27,19.0,30.0,1111.0,1100.0,-11.0,-0.009900990099009901,-0.13384671800513384
^VIX,2025-05-21,27,19.0,36.0,1711.0,1700.0,-11.0,-0.006428988895382817,-0.08691040543758254
^VIX,2025-05-21,27,19.0,39.0,2007.9999999999998,2000.0,-7.999999999999773,-0.0039840637450198075,-0.05385863951600851
^VIX,2025-05-21,27,19.0,40.0,2113.0,2100.0,-13.0,-0.006152389966871746,-0.08317119770030323
^VIX,2025-05-21,27,21.0,24.0,315.0,300.0,-15.0,-0.047619047619047616,-0.6437389770723103
^VIX,2025-05-21,27,21.0,25.0,419.99999999999994,400.0,-19.999999999999943,-0.04761904761904749,-0.6437389770723086
^VIX,2025-05-21,27,21.0,26.0,515.0,500.0,-15.0,-0.02912621359223301,-0.39374325782092773
^VIX,2025-05-21,27,21.0,27.0,617.0,600.0,-17.0,-0.027552674230145867,-0.3724713368149349
^VIX,2025-05-21,27,21.0,29.0,821.0000000000001,800.0,-21.000000000000114,-0.02557856272838016,-0.3457842739206948
^VIX,2025-05-21,27,21.0,30.0,914.9999999999999,900.0,-14.999999999999886,-0.0163934426229507,-0.2216150576806298
^VIX,2025-05-21,27,21.0,36.0,1515.0,1500.0,-15.0,-0.009900990099009901,-0.13384671800513384
^VIX,2025-05-21,27,21.0,39.0,1812.0,1800.0,-12.0,-0.006622516556291391,-0.08952661270542064
^VIX,2025-05-21,27,21.0,40.0,1917.0000000000002,1900.0,-17.000000000000227,-0.008868022952530112,-0.11988253250642558
^VIX,2025-05-21,27,24.0,25.0,116.00000000000001,100.0,-16.000000000000014,-0.13793103448275873,-1.8646232439335901
^VIX,2025-05-21,27,24.0,26.0,211.0,200.0,-11.0,-0.052132701421800945,-0.7047568895910128
^VIX,2025-05-21,27,24.0,27.0,313.0,300.0,-13.0,-0.04153354632587859,-0.5614720151461365
^VIX,2025-05-21,27,24.0,29.0,517.0,500.0,-17.0,-0.03288201160541586,-0.4445160828139551
^VIX,2025-05-21,27,24.0,30.0,611.0,600.0,-11.0,-0.01800327332242226,-0.24337758380311572
^VIX,2025-05-21,27,24.0,36.0,1211.0000000000002,1200.0,-11.000000000000227,-0.009083402146986148,-0.12279414013518311
^VIX,2025-05-21,27,24.0,39.0,1508.0,1500.0,-8.0,-0.005305039787798408,-0.07171627861283034
^VIX,2025-05-21,27,24.0,40.0,1613.0,1600.0,-13.0,-0.008059516429014259,-0.1089527220959335
^VIX,2025-05-21,27,25.0,26.0,108.99999999999999,100.0,-8.999999999999986,-0.08256880733944942,-1.1162079510703347
^VIX,2025-05-21,27,25.0,27.0,211.0,200.0,-11.0,-0.052132701421800945,-0.7047568895910128
^VIX,2025-05-21,27,25.0,29.0,415.00000000000006,400.0,-15.000000000000057,-0.03614457831325314,-0.4886211512717554
^VIX,2025-05-21,27,25.0,30.0,509.0,500.0,-9.0,-0.01768172888015717,-0.23903077930582842
^VIX,2025-05-21,27,25.0,36.0,1109.0,1100.0,-9.0,-0.008115419296663661,-0.10970844604749024
^VIX,2025-05-21,27,25.0,39.0,1406.0,1400.0,-6.0,-0.004267425320056899,-0.05768926821558401
^VIX,2025-05-21,27,25.0,40.0,1511.0000000000002,1500.0,-11.000000000000227,-0.007279947054930659,-0.09841409907591446
^VIX,2025-05-21,27,26.0,27.0,117.99999999999997,100.0,-17.99999999999997,-0.15254237288135572,-2.062146892655364
^VIX,2025-05-21,27,26.0,29.0,322.0,300.0,-22.0,-0.06832298136645963,-0.9236254888428802
^VIX,2025-05-21,27,26.0,30.0,416.0,400.0,-16.0,-0.038461538461538464,-0.51994301994302
^VIX,2025-05-21,27,26.0,36.0,1016.0,1000.0,-16.0,-0.015748031496062992,-0.21289005540974043
^VIX,2025-05-21,27,26.0,39.0,1313.0,1300.0,-13.0,-0.009900990099009901,-0.13384671800513384
^VIX,2025-05-21,27,26.0,40.0,1418.0,1400.0,-18.0,-0.012693935119887164,-0.17160319699106721
^VIX,2025-05-21,27,27.0,29.0,221.0,200.0,-21.0,-0.09502262443438914,-1.2845651080945197
^VIX,2025-05-21,27,27.0,30.0,315.0,300.0,-15.0,-0.047619047619047616,-0.6437389770723103
^VIX,2025-05-21,27,27.0,36.0,915.0,900.0,-15.0,-0.01639344262295082,-0.22161505768063147
^VIX,2025-05-21,27,27.0,39.0,1212.0,1200.0,-12.0,-0.009900990099009901,-0.13384671800513384
^VIX,2025-05-21,27,27.0,40.0,1317.0000000000002,1300.0,-17.000000000000227,-0.012908124525436769,-0.17449872043646003
^VIX,2025-05-21,27,29.0,30.0,110.99999999999994,100.0,-10.999999999999943,-0.09909909909909864,-1.339673006339667
^VIX,2025-05-21,27,29.0,36.0,711.0,700.0,-11.0,-0.015471167369901548,-0.2091472625931135
^VIX,2025-05-21,27,29.0,39.0,1008.0,1000.0,-8.0,-0.007936507936507936,-0.10728982951205172
^VIX,2025-05-21,27,29.0,40.0,1113.0,1100.0,-13.0,-0.011680143755615454,-0.15789823965924596
^VIX,2025-05-21,27,30.0,36.0,616.0,600.0,-16.0,-0.025974025974025976,-0.3511303511303511
^VIX,2025-05-21,27,30.0,39.0,912.9999999999999,900.0,-12.999999999999886,-0.01423877327491773,-0.1924871201979619
^VIX,2025-05-21,27,30.0,40.0,1018.0,1000.0,-18.0,-0.01768172888015717,-0.23903077930582842
^VIX,2025-05-21,27,36.0,39.0,311.99999999999994,300.0,-11.999999999999943,-0.03846153846153828,-0.5199430199430175
^VIX,2025-05-21,27,36.0,40.0,417.0,400.0,-17.0,-0.0407673860911271,-0.551114663824496
^VIX,2025-05-21,27,39.0,40.0,119.99999999999993,100.0,-19.99999999999993,-0.16666666666666619,-2.25308641975308
^VIX,2025-06-18,55,16.0,28.0,1201.0,1200.0,-1.0,-0.0008326394671107411,-0.005525698281734918
^VIX,2025-06-18,55,16.0,30.0,1405.0,1400.0,-5.0,-0.0035587188612099642,-0.02361695244257522
^VIX,2025-06-18,55,16.0,31.0,1503.0,1500.0,-3.0,-0.001996007984031936,-0.01324623480312103
^VIX,2025-06-18,55,16.0,100.0,8354.0,8400.0,46.0,0.005506344266219775,0.03654210285764033
^VIX,2025-06-18,55,28.0,30.0,218.99999999999994,200.0,-18.999999999999943,-0.08675799086757967,-0.5757575757575742
^VIX,2025-06-18,55,28.0,31.0,317.0,300.0,-17.0,-0.05362776025236593,-0.35589331803842844
^VIX,2025-06-18,55,28.0,100.0,7167.999999999999,7200.0,32.00000000000091,0.0044642857142858415,0.029626623376624223
^VIX,2025-06-18,55,30.0,31.0,112.0000000000001,100.0,-12.0000000000001,-0.10714285714285794,-0.7110389610389664
^VIX,2025-06-18,55,30.0,100.0,6963.0,7000.0,37.0,0.005313801522332328,0.03526431919366
^VIX,2025-06-18,55,31.0,100.0,6866.999999999999,6900.0,33.00000000000091,0.0048055919615553975,0.03189165574486764
^VIX,2025-08-20,118,20.0,40.0,1984.9999999999998,2000.0,15.000000000000227,0.007556675062972407,0.023374460999872275
^XSP,2025-04-25,1,540.0,541.0,115.00000000000003,100.0,-15.000000000000028,-0.13043478260869587,-47.60869565217399
^XSP,2025-04-25,1,540.0,542.0,221.0,200.0,-21.0,-0.09502262443438914,-34.68325791855204
^XSP,2025-04-25,1,540.0,545.0,535.0,500.0,-35.0,-0.06542056074766354,-23.878504672897193
^XSP,2025-04-25,1,540.0,546.0,633.0,600.0,-33.0,-0.052132701421800945,-19.028436018957343
^XSP,2025-04-25,1,541.0,542.0,117.99999999999997,100.0,-17.99999999999997,-0.15254237288135572,-55.677966101694835
^XSP,2025-04-25,1,541.0,545.0,432.0,400.0,-32.0,-0.07407407407407407,-27.037037037037035
^XSP,2025-04-25,1,541.0,546.0,530.0,500.0,-30.0,-0.05660377358490566,-20.660377358490567
^XSP,2025-04-25,1,542.0,545.0,325.0,300.0,-25.0,-0.07692307692307693,-28.076923076923077
^XSP,2025-04-25,1,542.0,546.0,422.99999999999994,400.0,-22.999999999999943,-0.05437352245862871,-19.84633569739948
^XSP,2025-04-25,1,545.0,546.0,109.99999999999997,100.0,-9.999999999999972,-0.09090909090909068,-33.181818181818095
